LOGGER (Server): Mon Jun 19 16:50:43 CEST 2017 - Server starting ...
LOGGER (Server): Mon Jun 19 16:50:43 CEST 2017 - Notification Service running at 20000 port...
LOGGER (Server): Mon Jun 19 16:51:14 CEST 2017 - Server starting ...
LOGGER (Server): Mon Jun 19 16:51:15 CEST 2017 - Notification Service running at 20000 port...
LOGGER (Server): Mon Jun 19 18:22:42 CEST 2017 - Server starting ...
LOGGER (Server): Mon Jun 19 18:27:53 CEST 2017 - Server starting ...
LOGGER (Client1): Mon Jun 19 18:30:30 CEST 2017 - Client starting ...
LOGGER (Client1): Mon Jun 19 18:31:52 CEST 2017 - Client starting ...
LOGGER (Client1): Mon Jun 19 18:31:53 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:31:54 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:31:56 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:31:57 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:31:59 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:00 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:02 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:03 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:05 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:06 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:08 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:09 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:11 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:12 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:14 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:15 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:17 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:18 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:20 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:21 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:23 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:25 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:26 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:28 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:29 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:31 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:32 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:34 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:35 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:37 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:38 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:40 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:41 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:43 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:44 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:46 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:47 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:49 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:50 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:52 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:53 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:55 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:56 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:58 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:32:59 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:01 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:02 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:04 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:05 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:07 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:08 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:10 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:11 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:13 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:14 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:16 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:17 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:19 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:20 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:22 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:23 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:25 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:26 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:28 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:29 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:31 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:32 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:34 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:35 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:37 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:38 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:40 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:41 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:43 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:44 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:46 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:47 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:49 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:50 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:52 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:53 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:55 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:56 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:58 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:33:59 CEST 2017 - Invoked invitation with username=CIROO
